"대여소번호","대여소이름","GU","ADDRESS","lat","long","행정동코드","행정동명","시군구명","접근성","위험도","cluster"
1606,"태릉입구역 3번출구 대여소","노원구","서울특별시 노원구 동일로 지하 992-1",37.619171,127.074928,11350595,"공릉1동","노원구",84.07965455,3768.03492044348,8
1636,"백병원 사거리 농협은행 앞 대여소","노원구","서울특별시 노원구 동일로 1351",37.649212,127.061768,11350695,"상계6.7동","노원구",77.00197185,3642.39709166307,8
1637,"KT 노원점 건물 앞 대여소","노원구","서울특별시 노원구 노해로 489",37.654701,127.0634,11350695,"상계6.7동","노원구",94.2072058,3642.39709166307,8
1643,"태릉입구역 8번출구 대여소","노원구","서울특별시 노원구 공릉동 687-6",37.617367,127.075211,11350595,"공릉1동","노원구",76.21061405,3768.03492044348,8
1657,"노원구청 대여소","노원구","서울특별시 노원구 노해로 437",37.654049,127.057327,11350695,"상계6.7동","노원구",74.4584223,3642.39709166307,8
1662,"노원역7번출구 대여소","노원구","서울특별시 노원구 노해로 467",37.654114,127.059151,11350695,"상계6.7동","노원구",98.60866465,3642.39709166307,8
1673,"노원역 5번출구 대여소","노원구","서울특별시 노원구 동일로 1404",37.653976,127.060974,11350695,"상계6.7동","노원구",98.14172605,3642.39709166307,8
1674,"서울북부고용센터앞 대여소","노원구","서울특별시 노원구 노해로 450",37.653549,127.058083,11350695,"상계6.7동","노원구",94.5217799,3642.39709166307,8
1684,"태릉입구역 5번출구 대여소","노원구","동일로 986앞",37.61832,127.07563,11350595,"공릉1동","노원구",82.7747112,3768.03492044348,8
2910,"도깨비시장 대여소","노원구","노원구 동일로 1028",37.622093,127.074425,11350595,"공릉1동","노원구",73.89561125,3768.03492044348,8
